d,value,feed_id,created_at,lat,lon,ele
0EWVA75TFCJNRWF95K328G8ME3,35.693359,1754978,2021-12-02 14:55:56 UTC,,,
0EWVA7AT4H816J8QRX0NG73PCF,35.693359,1754978,2021-12-02 14:56:13 UTC,,,
0EWVA7FYJZ2VNVTC95XPXD8XA5,35.737301,1754978,2021-12-02 14:56:29 UTC,,,
0EWVA7JKNYVGGMVZMZ62WXR69C,35.781246,1754978,2021-12-02 14:56:38 UTC,,,
0EWVA7RKHX1HZ0WVWPQBHJ886B,35.781246,1754978,2021-12-02 14:56:58 UTC,,,
0EWVA7W4JEGPWJYRFMJMJX81NP,35.781246,1754978,2021-12-02 14:57:09 UTC,,,
0EWVA83FAZ557TMFKVAAZCPMTX,35.869141,1754978,2021-12-02 14:57:33 UTC,,,
0EWVA85K2FGHW74KV5ZVWN0M6N,35.869141,1754978,2021-12-02 14:57:40 UTC,,,
0EWVA887V2GZKAE8K8E2YF183Q,34.858395,1754978,2021-12-02 14:57:49 UTC,,,
0EWVA89H1RBP72NJNYAAGX4NEW,33.979488,1754978,2021-12-02 14:57:53 UTC,,,
0EWVA8BBN2PY02R01B6KJ7YG6W,32.924801,1754978,2021-12-02 14:57:59 UTC,,,
0EWVABEMF3FYMR3MEHJ2CHSSKX,24.619139,1754978,2021-12-02 15:03:25 UTC,,,
0EWVAC2VCAR04G537GHDQ2S7JE,24.531246,1754978,2021-12-02 15:04:31 UTC,,,
0EWVACE3SJNE3GZTZFVB97ACX1,24.531246,1754978,2021-12-02 15:05:08 UTC,,,
0EWVACQDVWTF7W7221WPRHMQ5N,24.575191,1754978,2021-12-02 15:05:38 UTC,,,
0EWVADCV8MCC0NX0RDMD8NMCWR,32.529293,1754978,2021-12-02 15:06:48 UTC,,,
0EWVADF3VBN3XX8GDN8V57N2KX,33.364254,1754978,2021-12-02 15:06:56 UTC,,,
0EWVADHYCQEWKRSSGD66ZPMME4,32.573242,1754978,2021-12-02 15:07:05 UTC,,,
0EWVADM11TNBGSECJTHWYZ7H0K,31.650389,1754978,2021-12-02 15:07:12 UTC,,,
0EWVADQE48TV4YEYPDG2VX4238,30.419922,1754978,2021-12-02 15:07:23 UTC,,,
0EWVADRZW1HS1HJPAJGJ33PNGB,29.892576,1754978,2021-12-02 15:07:28 UTC,,,
0EWVADXF4CDN9MSVA34FM28E00,28.793943,1754978,2021-12-02 15:07:43 UTC,,,
0EWVADZW0SSTA2V5Q2TV6K7QKC,31.123043,1754978,2021-12-02 15:07:51 UTC,,,
0EWVAE2YWK82WFZ34HD8S5K6NJ,30.507809,1754978,2021-12-02 15:08:01 UTC,,,
0EWVAE5DEN4200B8BRRSA40ANQ,29.804684,1754978,2021-12-02 15:08:09 UTC,,,
0EWVAJT4SWTP8PN9H4RKN91XBM,24.223631,1754978,2021-12-02 15:16:16 UTC,,,
0EWVAJW06V393FR1ER313Y596F,24.267578,1754978,2021-12-02 15:16:22 UTC,,,
0EWVAJXZ32FE2TKQ1BPZVBN89H,24.223631,1754978,2021-12-02 15:16:29 UTC,,,
0EWVAK0FA6NF01SXGJFT7SWS87,24.223631,1754978,2021-12-02 15:16:37 UTC,,,
0EWVAM0YX3TCFTSX3HVZX0NWK7,24.267578,1754978,2021-12-02 15:18:23 UTC,,,
0EWVAR0MHRJNEYBVD4HZEBBK79,24.443357,1754978,2021-12-02 15:25:22 UTC,,,
0EWVAR3H80QTF91HRJS36G1QA0,24.443357,1754978,2021-12-02 15:25:31 UTC,,,
0EWVAR8TGVZ3Q5TBBGF4YE0PNG,31.123043,1754978,2021-12-02 15:25:49 UTC,,,
0EWVARK6HWTP28PEMCECPBVZTG,30.244137,1754978,2021-12-02 15:26:23 UTC,,,
0EWVARPWG6XY8SNWG1KFGTNGKC,29.233397,1754978,2021-12-02 15:26:35 UTC,,,
0EWVARV5WZNH1SYTB7058WNCK6,28.222656,1754978,2021-12-02 15:26:49 UTC,,,
0EWVB0MWPSPJ2MJ1HZH2RYKZQT,24.399412,1754978,2021-12-02 15:40:27 UTC,,,
0EWVB0SW6QK91PVKDQ0XNJTTMW,24.399412,1754978,2021-12-02 15:40:43 UTC,,,
0EWVBJZ615X5QN6CJGZ5QQZ8MM,22.246092,1754978,2021-12-02 16:12:28 UTC,,,
0EWVBK2RN6ZNK2B3XYNS42DF3Z,22.290039,1754978,2021-12-02 16:12:40 UTC,,,
0EWVBXB7G0B75BF34GXT0KEJJ4,22.070312,1754978,2021-12-02 16:30:36 UTC,,,
0EWVBXHCACMNVTCSVS0TSPKRVF,22.070312,1754978,2021-12-02 16:30:56 UTC,,,
0EWVBXYJG922BNHH1GS6PDRYWY,22.114254,1754978,2021-12-02 16:31:40 UTC,,,
0EWVBXZQF512ZE40JARNQX0C0G,22.070312,1754978,2021-12-02 16:31:43 UTC,,,
0EWVBY2H7W7S6YW8MEHCPZYJB7,22.114254,1754978,2021-12-02 16:31:53 UTC,,,
0EWVBYKNMDZRN85ERATD3157HB,22.070312,1754978,2021-12-02 16:32:49 UTC,,,
0EWVBZ6QEAKA6C10V2D26ZW3CW,22.114254,1754978,2021-12-02 16:33:51 UTC,,,
0EWVC15DEKWFHGHCP50RKN3QM2,22.114254,1754978,2021-12-02 16:37:17 UTC,,,
0EWVC6CY4QGGSWMTG7CG02P17Q,22.114254,1754978,2021-12-02 16:46:26 UTC,,,
0EWVC6FCBZACPQNG50K5JE7335,22.114254,1754978,2021-12-02 16:46:34 UTC,,,
0EWVC6GQVR22VREJC3XY6P6D74,22.070312,1754978,2021-12-02 16:46:38 UTC,,,
0EWVC6K3BPP4YW3TB0A8E38BMF,22.070312,1754978,2021-12-02 16:46:46 UTC,,,
0EWVCDS4E8EZGR8RY8HTY1660D,22.114254,1754978,2021-12-02 16:59:20 UTC,,,
0EWYN73BNNDEMDYYA2A8XVY0CX,24.179686,1754978,2021-12-06 18:39:41 UTC,,,
0EWYN7SGDXEKY319HXBM36GPMM,24.179686,1754978,2021-12-06 18:40:53 UTC,,,
0EWYN894Y2STDFGW9A6GCTHHTK,24.179686,1754978,2021-12-06 18:41:44 UTC,,,
